subdir,img_dir,num_pred_classes,avg_l2,std_l2,avg_l2_class_0,std_l2_class_0,avg_l2_class_1,std_l2_class_1,avg_l2_class_2,std_l2_class_2,avg_l2_class_3,std_l2_class_3,avg_l2_class_4,std_l2_class_4,avg_l2_class_5,std_l2_class_5,avg_l2_class_6,std_l2_class_6,avg_l2_class_7,std_l2_class_7,avg_l2_class_8,std_l2_class_8,avg_l2_class_9,std_l2_class_9
cifar10_stochastic_alpha_0.1_test_img_135-140_iters_500,img_136,1,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0
cifar10_stochastic_alpha_0.1_test_img_100-105_iters_500,img_104,1,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_100-105_iters_500,img_102,1,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,
cifar10_stochastic_alpha_0.1_test_img_100-105_iters_500,img_101,1,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_100-105_iters_500,img_103,1,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_100-105_iters_500,img_100,2,0.005973711898550391,0.013546413397772515,,,,,,,,,0.0020950611869103453,0.008230619546220442,0.037355522201819855,0.003686434290999863,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_235-240_iters_500,img_239,1,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_235-240_iters_500,img_236,3,0.03623687881976366,0.003974475495210273,,,,,0.03523524949947993,0.003547920010688385,,,0.03785302443429828,0.005445032916773496,,,0.03659421665537538,0.003958969128775052,,,,,,
cifar10_stochastic_alpha_0.1_test_img_235-240_iters_500,img_235,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_235-240_iters_500,img_238,1,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_235-240_iters_500,img_237,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_165-170_iters_500,img_168,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_165-170_iters_500,img_167,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_165-170_iters_500,img_169,3,0.02022193836979568,0.003457266343998796,0.022980070805975368,0.003476916376206884,,,,,,,0.019645218961838497,0.0032121618839921007,,,,,0.023078016750514508,0.00303025772362251,,,,
cifar10_stochastic_alpha_0.1_test_img_165-170_iters_500,img_166,1,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,
cifar10_stochastic_alpha_0.1_test_img_165-170_iters_500,img_165,2,0.002360031141433865,0.002816812585530246,,,,,,,,,0.0,0.0,,,,,0.00472006228286773,0.002174712005514274,,,,
cifar10_stochastic_alpha_0.1_test_img_105-110_iters_500,img_108,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_105-110_iters_500,img_109,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_105-110_iters_500,img_107,1,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,
cifar10_stochastic_alpha_0.1_test_img_105-110_iters_500,img_106,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_105-110_iters_500,img_105,1,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_145-150_iters_500,img_148,1,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_145-150_iters_500,img_149,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_145-150_iters_500,img_145,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_145-150_iters_500,img_146,2,0.029250825215131046,0.020811355555494498,,,,,,,0.04411227811799675,0.004162115362946459,,,,,0.006005988623469303,0.014059700656604033,,,,,,
cifar10_stochastic_alpha_0.1_test_img_145-150_iters_500,img_147,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_285-290_iters_500,img_288,1,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,
cifar10_stochastic_alpha_0.1_test_img_285-290_iters_500,img_289,1,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0
cifar10_stochastic_alpha_0.1_test_img_285-290_iters_500,img_285,1,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0
cifar10_stochastic_alpha_0.1_test_img_285-290_iters_500,img_286,1,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_285-290_iters_500,img_287,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_195-200_iters_500,img_198,2,0.00029352136130910366,0.000771729361792231,,,,,,,0.0016306742294950204,0.0010621866275229437,,,,,,,0.0,0.0,,,,
cifar10_stochastic_alpha_0.1_test_img_195-200_iters_500,img_199,2,0.022418823530897497,0.0026799889930196157,,,,,,,0.022312223594021668,0.0027588323807260446,,,,,,,,,0.023496667337086465,0.0012529559072974132,,
cifar10_stochastic_alpha_0.1_test_img_195-200_iters_500,img_195,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_195-200_iters_500,img_196,1,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,
cifar10_stochastic_alpha_0.1_test_img_195-200_iters_500,img_197,1,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,
cifar10_stochastic_alpha_0.1_test_img_290-295_iters_500,img_293,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_290-295_iters_500,img_290,1,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,
